symbol,type,price,quantity,usd_value,distance_percent,timestamp
IOTXUSDT,BID,0.02513,23529956.0,591307.79428,-10.057265569076593,2025-08-22T02:53:41.213814
ARPAUSDT,ASK,150.0,4718.0,707700.0,671040.9395973155,2025-08-22T02:53:52.134447
FLOWUSDT,ASK,5.552,119105.0,661270.96,1388.4718498659518,2025-08-22T02:54:00.108643
SPELLUSDT,ASK,0.282,12827272.0,3617290.7039999994,57996.415327564886,2025-08-22T02:54:11.700795
SPELLUSDT,ASK,0.027,29930302.0,808118.154,5462.422744128554,2025-08-22T02:54:11.700779
USDCUSDT,ASK,0.999587,543690.0,543465.45603,0.0,2025-08-22T02:54:40.393620
USDCUSDT,ASK,1.01,501698.0,506714.98,1.0417302345868849,2025-08-22T02:54:40.393746
USDCUSDT,BID,0.995,530537.0,527884.315,-0.4588895213723275,2025-08-22T02:54:40.393973
ARBUSDT,ASK,0.565,892962.3,504523.6995,13.704970819078271,2025-08-22T02:54:42.680014
LEVERUSDT,ASK,0.0029,204587766.0,593304.5214,1937.9479971890373,2025-08-22T02:54:46.078207
SUIUSDT,ASK,3.47,526569.8,1827197.2060000002,1.6462593004862625,2025-08-22T02:54:52.938063
SUIUSDT,ASK,3.468,150466.5,521817.822,1.587673560255428,2025-08-22T02:54:52.938051
SUIUSDT,BID,3.34,162274.3,541996.1619999999,-2.1618138145175556,2025-08-22T02:54:52.938227
YGGUSDT,ASK,9.3,203962.0,1896846.6,5994.364351245085,2025-08-22T02:55:05.733553
